RowField,"abandoned_channels","active_hist_searches","active_realtime_searches","average_kbps","avg_age","avg_time_spent_in_queue",bytes,chillOrFreeze,clientip,component,"compute_search_quota_max_ms","compute_search_quota_mean_ms",count,"cpu_seconds","cumulative_hits","current_queue_size","current_size","current_size_kb","date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone","dispatch_sample_ratio","display_general_type","display_page_search_mode","display_page_search_tab","drop_count",earliest,"enqueue_seaches_count",eps,ev,eventtype,executes,"fd_cache_size",file,"files_queued",flushBlockSig,"fork_recovermetadata",group,host,"hot_bkts_rolled",ident,"inactive_channels",index,"instantaneous_eps","instantaneous_kbps",kb,kbps,"largest_queue_size","largest_size",line,linecount,"load_average","log_level","max_age","max_queue_size","max_size_kb","max_time_spent_in_queue",message,method,"mgmt_httpd","min_queue_size",nCompleted,nDownloadFail,nInstallFail,nInstallOk,nNew,nReceived,nStarted,nTotal,nUninstallFail,nUninstallOk,name,namespace,"new_channels","new_files_queued",other,"output_mode",processor,punct,q,qsize,"qwork_units",reaper,"rebuild_metadata","reclaimed_channels",referer,"referer_domain","removed_channels","replicate_semislice","req_time",requestid,"retryMove_1hotBkt","roll_hotBkt",root,savedsplunker,search,series,"service_cpu_seconds","service_externProc","service_maxSizes","service_volumes",showCommandHelp,showCommandHistory,showFieldInfo,sid,"size_hotBkt","smallest_size",snippet,snippetEmbedJS,"sort_dir","sort_key",source,sourcetype,spent,"splunk_server",status,tail,task,"throttle_optimize","timedout_channels",timeendpos,timestartpos,"total_k_processed",udpin,"update_bktManifest","update_checksums",uri,"uri_path","uri_query",useAssistant,useTypeahead,user,useragent,version,workers,"write_cpu_seconds"
snippet,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.01","0.01","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.11","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.38","0.00","0.00","0.00","0.00","0.00","1.00","1.00","1.00","0.01","0.00","0.00","1.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","1.00","0.00","0.00","0.00","0.00","0.00"
snippetEmbedJS,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.01","0.01","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.11","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.38","0.00","0.00","0.00","0.00","0.00","1.00","1.00","1.00","0.01","0.00","0.00","1.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","1.00","0.00","0.00","0.00","0.00","0.00"
"sort_dir","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.00","0.01","0.00","0.00","0.00","0.25","0.00","0.00","0.00","0.00","0.00","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.00","0.04","0.00","0.00","0.00","0.11","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.01","0.00","0.01","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.15","0.00","0.01","0.01","0.00","0.00","0.00","0.00","0.00","0.01","0.01","0.00","0.00","0.01","0.00","0.00","0.00","0.01","0.00","0.17","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.00","0.00","0.00","0.00","1.00","0.91","0.01","0.01","0.01","0.01","0.01","0.00","0.00","0.00","0.00","0.01","0.01","0.00","0.00","0.00","0.00","0.01","0.01","0.01","0.00","0.00","0.01","0.01","0.01","0.00","0.00"
"sort_key","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.00","0.01","0.00","0.00","0.00","0.28","0.00","0.00","0.00","0.00","0.00","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.00","0.05","0.00","0.00","0.00","0.10","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.01","0.00","0.01","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.17","0.00","0.01","0.01","0.00","0.00","0.00","0.00","0.00","0.01","0.01","0.00","0.00","0.01","0.00","0.00","0.00","0.01","0.00","0.21","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.91","1.00","0.01","0.01","0.01","0.01","0.01","0.00","0.00","0.00","0.00","0.01","0.01","0.00","0.00","0.00","0.00","0.01","0.01","0.01","0.00","0.00","0.01","0.01","0.01","0.00","0.00"
source,"0.00","0.00","0.00","0.01","0.05","0.00","0.73","0.00","0.73","0.27","0.00","0.00","0.01","0.08","0.08","0.01","0.05","0.05","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","0.25","0.25","0.25","0.25","0.00","0.01","0.00","0.05","0.06","0.01","0.08","0.00","0.73","0.01","0.00","0.00","0.27","1.00","0.00","0.73","0.00","1.00","0.01","0.01","0.06","0.05","0.00","0.05","0.00","1.00","0.00","0.27","0.05","0.01","0.05","0.00","0.27","0.73","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.20","0.00","0.00","0.01","0.73","0.03","0.08","1.00","0.25","0.01","0.01","0.00","0.00","0.00","0.72","0.72","0.00","0.00","0.73","0.00","0.00","0.00","0.73","0.00","0.01","0.05","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.25","0.00","0.05","0.00","0.00","0.01","0.01","1.00","1.00","0.73","1.00","0.73","0.00","0.00","0.00","0.00","1.00","1.00","0.01","0.00","0.00","0.00","0.73","0.73","0.67","0.00","0.00","0.73","0.72","0.73","0.01","0.00"
sourcetype,"0.00","0.00","0.00","0.01","0.05","0.00","0.73","0.00","0.73","0.27","0.00","0.00","0.01","0.08","0.08","0.01","0.05","0.05","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","0.25","0.25","0.25","0.25","0.00","0.01","0.00","0.05","0.06","0.01","0.08","0.00","0.73","0.01","0.00","0.00","0.27","1.00","0.00","0.73","0.00","1.00","0.01","0.01","0.06","0.05","0.00","0.05","0.00","1.00","0.00","0.27","0.05","0.01","0.05","0.00","0.27","0.73","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.20","0.00","0.00","0.01","0.73","0.03","0.08","1.00","0.25","0.01","0.01","0.00","0.00","0.00","0.72","0.72","0.00","0.00","0.73","0.00","0.00","0.00","0.73","0.00","0.01","0.05","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.25","0.00","0.05","0.00","0.00","0.01","0.01","1.00","1.00","0.73","1.00","0.73","0.00","0.00","0.00","0.00","1.00","1.00","0.01","0.00","0.00","0.00","0.73","0.73","0.67","0.00","0.00","0.73","0.72","0.73","0.01","0.00"
spent,"0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","1.00","0.00","0.00","0.00","0.02","0.00","0.00","0.00","0.00","0.00","0.73","0.73","0.73","0.73","0.73","0.73","0.73","0.73","0.35","0.35","0.35","0.35","0.00","0.01","0.00","0.00","0.00","0.01","0.00","0.00","1.00","0.00","0.00","0.00","0.00","0.73","0.00","1.00","0.00","0.73","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.73","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.04","0.00","0.73","0.35","0.00","0.00","0.00","0.00","0.00","0.99","0.99","0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.34","0.00","0.00","0.00","0.00","0.01","0.01","0.73","0.73","1.00","0.73","1.00","0.00","0.00","0.00","0.00","0.73","0.73","0.00","0.00","0.00","0.00","1.00","1.00","0.92","0.00","0.00","1.00","0.99","1.00","0.00","0.00"
"splunk_server","0.00","0.00","0.00","0.01","0.05","0.00","0.73","0.00","0.73","0.27","0.00","0.00","0.01","0.08","0.08","0.01","0.05","0.05","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","0.25","0.25","0.25","0.25","0.00","0.01","0.00","0.05","0.06","0.01","0.08","0.00","0.73","0.01","0.00","0.00","0.27","1.00","0.00","0.73","0.00","1.00","0.01","0.01","0.06","0.05","0.00","0.05","0.00","1.00","0.00","0.27","0.05","0.01","0.05","0.00","0.27","0.73","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.20","0.00","0.00","0.01","0.73","0.03","0.08","1.00","0.25","0.01","0.01","0.00","0.00","0.00","0.72","0.72","0.00","0.00","0.73","0.00","0.00","0.00","0.73","0.00","0.01","0.05","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.25","0.00","0.05","0.00","0.00","0.01","0.01","1.00","1.00","0.73","1.00","0.73","0.00","0.00","0.00","0.00","1.00","1.00","0.01","0.00","0.00","0.00","0.73","0.73","0.67","0.00","0.00","0.73","0.72","0.73","0.01","0.00"
status,"0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","1.00","0.00","0.00","0.00","0.02","0.00","0.00","0.00","0.00","0.00","0.73","0.73","0.73","0.73","0.73","0.73","0.73","0.73","0.35","0.35","0.35","0.35","0.00","0.01","0.00","0.00","0.00","0.01","0.00","0.00","1.00","0.00","0.00","0.00","0.00","0.73","0.00","1.00","0.00","0.73","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.73","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.04","0.00","0.73","0.35","0.00","0.00","0.00","0.00","0.00","0.99","0.99","0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.35","0.00","0.00","0.00","0.00","0.01","0.01","0.73","0.73","1.00","0.73","1.00","0.00","0.00","0.00","0.00","0.73","0.73","0.00","0.00","0.00","0.00","1.00","1.00","0.92","0.00","0.00","1.00","0.99","1.00","0.00","0.00"
tail,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.01","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.02","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
task,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","1.00","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.02","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","1.00","1.00","0.00","0.00","0.00","0.00","0.00","1.00","1.00","1.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","1.00","0.00","0.00","0.00","0.00","0.00","1.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"throttle_optimize","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","1.00","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.02","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","1.00","1.00","0.00","0.00","0.00","0.00","0.00","1.00","1.00","1.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","1.00","0.00","0.00","0.00","0.00","0.00","1.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"timedout_channels","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.07","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.02","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
timeendpos,"0.00","0.00","0.00","0.01","0.05","0.00","0.73","0.00","0.73","0.27","0.00","0.00","0.01","0.08","0.08","0.01","0.05","0.05","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","0.25","0.25","0.25","0.25","0.00","0.01","0.00","0.05","0.06","0.01","0.08","0.00","0.73","0.01","0.00","0.00","0.27","1.00","0.00","0.73","0.00","1.00","0.01","0.01","0.06","0.05","0.00","0.05","0.00","1.00","0.00","0.27","0.05","0.01","0.05","0.00","0.27","0.73","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.20","0.00","0.00","0.01","0.73","0.03","0.08","1.00","0.25","0.01","0.01","0.00","0.00","0.00","0.72","0.72","0.00","0.00","0.73","0.00","0.00","0.00","0.73","0.00","0.01","0.05","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.25","0.00","0.05","0.00","0.00","0.01","0.01","1.00","1.00","0.73","1.00","0.73","0.00","0.00","0.00","0.00","1.00","1.00","0.01","0.00","0.00","0.00","0.73","0.73","0.67","0.00","0.00","0.73","0.72","0.73","0.01","0.00"
timestartpos,"0.00","0.00","0.00","0.01","0.05","0.00","0.73","0.00","0.73","0.27","0.00","0.00","0.01","0.08","0.08","0.01","0.05","0.05","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","0.25","0.25","0.25","0.25","0.00","0.01","0.00","0.05","0.06","0.01","0.08","0.00","0.73","0.01","0.00","0.00","0.27","1.00","0.00","0.73","0.00","1.00","0.01","0.01","0.06","0.05","0.00","0.05","0.00","1.00","0.00","0.27","0.05","0.01","0.05","0.00","0.27","0.73","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.20","0.00","0.00","0.01","0.73","0.03","0.08","1.00","0.25","0.01","0.01","0.00","0.00","0.00","0.72","0.72","0.00","0.00","0.73","0.00","0.00","0.00","0.73","0.00","0.01","0.05","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.25","0.00","0.05","0.00","0.00","0.01","0.01","1.00","1.00","0.73","1.00","0.73","0.00","0.00","0.00","0.00","1.00","1.00","0.01","0.00","0.00","0.00","0.73","0.73","0.67","0.00","0.00","0.73","0.72","0.73","0.01","0.00"
"total_k_processed","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.04","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.18","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.04","0.01","0.00","0.00","0.00","0.01","1.00","1.00","0.18","0.00","0.00","0.00","0.00","0.01","0.33","0.04","0.00","0.00","0.00","0.00","0.04","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.06","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.01","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.01","0.01","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
udpin,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.01","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.02","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"update_bktManifest","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","1.00","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.02","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","1.00","1.00","0.00","0.00","0.00","0.00","0.00","1.00","1.00","1.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","1.00","0.00","0.00","0.00","0.00","0.00","1.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"update_checksums","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","1.00","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.02","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","1.00","1.00","0.00","0.00","0.00","0.00","0.00","1.00","1.00","1.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","1.00","0.00","0.00","0.00","0.00","0.00","1.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
uri,"0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","1.00","0.00","0.00","0.00","0.02","0.00","0.00","0.00","0.00","0.00","0.73","0.73","0.73","0.73","0.73","0.73","0.73","0.73","0.35","0.35","0.35","0.35","0.00","0.01","0.00","0.00","0.00","0.01","0.00","0.00","1.00","0.00","0.00","0.00","0.00","0.73","0.00","1.00","0.00","0.73","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.73","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.04","0.00","0.73","0.35","0.00","0.00","0.00","0.00","0.00","0.99","0.99","0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.34","0.00","0.00","0.00","0.00","0.01","0.01","0.73","0.73","1.00","0.73","1.00","0.00","0.00","0.00","0.00","0.73","0.73","0.00","0.00","0.00","0.00","1.00","1.00","0.92","0.00","0.00","1.00","0.99","1.00","0.00","0.00"
"uri_path","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","1.00","0.00","0.00","0.00","0.02","0.00","0.00","0.00","0.00","0.00","0.73","0.73","0.73","0.73","0.73","0.73","0.73","0.73","0.35","0.35","0.35","0.35","0.00","0.01","0.00","0.00","0.00","0.01","0.00","0.00","1.00","0.00","0.00","0.00","0.00","0.73","0.00","1.00","0.00","0.73","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.73","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.04","0.00","0.73","0.35","0.00","0.00","0.00","0.00","0.00","0.99","0.99","0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.34","0.00","0.00","0.00","0.00","0.01","0.01","0.73","0.73","1.00","0.73","1.00","0.00","0.00","0.00","0.00","0.73","0.73","0.00","0.00","0.00","0.00","1.00","1.00","0.92","0.00","0.00","1.00","0.99","1.00","0.00","0.00"
"uri_query","0.00","0.00","0.00","0.00","0.00","0.00","0.92","0.00","0.92","0.00","0.00","0.00","0.02","0.00","0.00","0.00","0.00","0.00","0.67","0.67","0.67","0.67","0.67","0.67","0.67","0.67","0.31","0.31","0.31","0.31","0.00","0.01","0.00","0.00","0.00","0.01","0.00","0.00","0.92","0.00","0.00","0.00","0.00","0.67","0.00","0.92","0.00","0.67","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.67","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.92","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.92","0.04","0.00","0.67","0.32","0.00","0.00","0.00","0.00","0.00","0.92","0.92","0.00","0.00","0.92","0.00","0.00","0.00","0.92","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.31","0.00","0.00","0.00","0.00","0.01","0.01","0.67","0.67","0.92","0.67","0.92","0.00","0.00","0.00","0.00","0.67","0.67","0.00","0.00","0.00","0.00","0.92","0.92","1.00","0.00","0.00","0.92","0.92","0.92","0.00","0.00"
useAssistant,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.01","0.01","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.11","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.38","0.00","0.00","0.00","0.00","0.00","1.00","1.00","1.00","0.01","0.00","0.00","1.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","1.00","0.00","0.00","0.00","0.00","0.00"
